Mon Dec 21 04:11:31 2020,04:11:31.083486 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.450 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.450/0.450/0.450/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.088709 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.432 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.432/0.432/0.432/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.095161 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.418 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.418/0.418/0.418/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.104566 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.430 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.430/0.430/0.430/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.106298 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.376 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.376/0.376/0.376/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.107681 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.374 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.374/0.374/0.374/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.112280 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.353 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.353/0.353/0.353/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.121349 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.418 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.418/0.418/0.418/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.128040 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.417 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.417/0.417/0.417/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.130379 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.375 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.375/0.375/0.375/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.133547 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.349 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.349/0.349/0.349/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.135233 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.338 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.338/0.338/0.338/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.140849 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.353 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.353/0.353/0.353/0.000 ms\n'
